amfi_code,Mean_Daily_Return,Downside_Std,Sortino_Ratio,Rank
148567,0.001073675403449074,0.005428073713873136,2.385644373368797,1
120843,0.001081754914045028,0.0055312781646822485,2.3643200321667086,2
148569,0.0011240540293206507,0.006404164246039032,2.146913926346051,3
119551,0.0009167982325947245,0.004886822532070308,2.1402671290617774,4
120505,0.0011613203372383726,0.007066673035853752,2.0293529404657376,5
149323,0.0010551910655343993,0.006749515527258233,1.8751010639191963,6
118632,0.0008652259973214254,0.00521066546977899,1.8501325468557175,7
100033,0.0010798038431409655,0.007132741369596696,1.8291339615146913,8
120504,0.0008430464116382278,0.005145052732898056,1.805293794099243,9
101206,0.0008517723174694527,0.005238411706705728,1.7995628746984451,10
119094,0.0010266978562569007,0.007162651789767089,1.703797480246293,11
119598,0.001201015736998063,0.008936172964762257,1.6753165700125467,12
148568,0.0008250722735460003,0.005514041292822311,1.6327409778735091,13
149324,0.0011941715475284563,0.009175412464067088,1.6197931764914029,14
119552,0.0007852425930349852,0.005199929710628719,1.6097764896282993,15
102885,0.0006741587522893952,0.004602026848849016,1.4357420130649396,16
120503,0.0006975954084313717,0.005216491204490983,1.3379431500669134,17
125497,0.0007095223731125664,0.005387364568538929,1.3306512447571264,18
118633,0.0006163137445172879,0.004927831896192432,1.1544757169236164,19
118635,0.0006004739698755357,0.004778317116987732,1.137976718780735,20
120506,0.0006501094769466256,0.005680792379048571,1.0958951614736425,21
102887,0.0006453406943106673,0.005648515402825674,1.0887552508029974,22
120507,0.0002676525413792974,0.00014659609188476388,1.052123882257981,23
120841,0.0005220152587214231,0.0048600128981664305,0.8625738849916469,24
149322,0.0005222511308194386,0.00550545284829141,0.7621288703723081,25
118634,0.0007071093821003037,0.00955798724232091,0.7460146308533516,26
125498,0.00047686346287115043,0.00683032646505999,0.5088128197169167,27
101207,0.00042445286814923546,0.009555122167229157,0.2766437962609222,28
119093,0.0003298586443710108,0.005164163193373067,0.22108683979275504,29
120842,0.0003119045881482694,0.00687058203436555,0.12469346986474816,30
119092,0.0002749789297660465,0.005145892143111504,0.05257398559304429,31
119599,0.00020131692580289384,0.009522556218325873,-0.09438726129459904,32
119095,0.00018236517391230034,0.009358756398627776,-0.12818559275851907,33
120844,0.00025612874999295657,0.0001528702417742078,-0.18772304774540446,34
102886,0.00010981472233970669,0.006771916531253499,-0.3472223025472744,35
100016,0.00014159930699210875,0.005260815192179732,-0.35104746015230853,36
119120,0.00022226830595075363,0.0015028257271034933,-0.3767670081707113,37
118636,0.000201533313113653,0.0014593908512963195,-0.6135251287271506,38
100025,0.00017005379350089821,0.0014812735022368376,-0.9418212366054453,39
101208,0.00024154628565903447,0.00015477742507846438,-1.6810378667540942,40
