amfi_code,Alpha,Beta,R_squared,P_value
119598,0.30762485898707287,-0.025674657643363925,0.00017296578441910134,0.6564996682740556
149324,0.3061327298502288,0.009173754153547526,2.2615006531418546e-05,0.8722413376102514
120505,0.2923698228795052,-0.005009175533410158,1.1258728681360397e-05,0.9096614775479066
148569,0.2779779435908718,0.018761612341282367,0.00018701761416000051,0.6437472856528008
100033,0.2777692256220888,0.002533804492105539,2.9710580978451264e-06,0.9535197768499708
120843,0.27078911466438843,-0.018810978708413115,0.00023332875881302764,0.6054576931296365
149323,0.2677616702978756,-0.0036308745529741835,6.9486679180400765e-06,0.928971136481108
148567,0.264345711453572,0.027752123603429865,0.0006366395456221385,0.3934577631360964
119094,0.25888986648283274,-0.0681386957643189,0.002045383740499937,0.12598502883967835
119551,0.22840087671614273,-0.031873219083624636,0.0008934162948320334,0.3120265366639802
118632,0.21698228058877247,-0.008813523970084856,6.431195914917568e-05,0.7862462064859821
101206,0.21386976503942848,0.020924193432394943,0.00034182420575101015,0.5318042198504543
120504,0.21115427135997575,0.013500641657585823,0.0001468738621931028,0.6819288815487363
148568,0.20848378622408237,-0.02352651526378119,0.0003863555419231281,0.5062150194459202
119552,0.20698959305486814,-0.029872180794120698,0.000765506787553603,0.3493842343866983
118634,0.17731438446097134,0.10249803353147505,0.0027327899386888404,0.07690035529601248
125497,0.17726776173797956,0.0486535700183856,0.0018231017660385288,0.1485945272374418
120503,0.17281738527566448,-0.039553790301947056,0.0013469276462962573,0.2144318119173215
102885,0.16681818772969054,-0.016616109394825596,0.00027905473467506806,0.5721227324148457
102887,0.1632096873198784,0.015512064447579348,0.0001609609489700573,0.6678955088003863
120506,0.16261072472399962,0.0413611301479523,0.0012228753419144729,0.2368552410923295
118633,0.16255338421764573,-0.038949446030927384,0.0012880206220601761,0.22474691602847022
118635,0.15611969526202069,-0.0024538156914614196,5.942409355596695e-06,0.9343025569504804
149322,0.13629143468461805,-0.005530242788779778,2.4631363881317858e-05,0.8667184145147031
120841,0.12817509716114095,0.03746442820071626,0.0012841180766269727,0.22545098756428517
125498,0.12304398592187067,0.008246496894834572,3.346523009669938e-05,0.8449057038073979
101207,0.11820645797554517,-0.06872687277407664,0.0011797134816959522,0.2453132768162864
119093,0.08530969710712344,0.0256135251323516,0.0005565574928441564,0.42494440718538673
119092,0.07007485511727533,0.009311153209399138,7.396689691752607e-05,0.7711784545660824
120842,0.06997290394623358,0.020578805910365722,0.00021989783877483744,0.6160342862511577
120507,0.06735935413719847,-0.00043209120901488077,0.00012703594405642286,0.7030924133234032
120844,0.06442873579750608,-0.0003988291895592872,0.00010017458460060227,0.7350163261483013
101208,0.06100158891274537,0.00017528100800012918,1.98987998806099e-05,0.880097223412228
119599,0.05500820018210583,0.05848618377576251,0.0009116988386555664,0.30712401547650603
119120,0.05401683710141474,-0.006069643141774207,0.0003897165206374276,0.504370791459211
118636,0.05010854102442226,0.001797412685744491,3.3734492025151524e-05,0.8442909475319322
100025,0.04415738204053574,0.00041487096698135015,1.874570503385272e-06,0.9630721413370785
119095,0.03984799192999299,-0.06480914839666779,0.001110289826611888,0.2597062942145397
100016,0.03977945530206162,-0.06144507841709848,0.002967693376845466,0.0652516375566263
102886,0.018242405876494488,-0.03929386711563499,0.0007837396230391255,0.34370638476817417
